"SYMBOL 
","COMPANY 
","REGULATION 
","NAME OF THE ACQUIRER/DISPOSER 
","CATEGORY OF PERSON 
","TYPE OF SECURITY (PRIOR) 
","NO. OF SECURITY (PRIOR) 
","% SHAREHOLDING (PRIOR) 
","TYPE OF SECURITY (ACQUIRED/DISPLOSED) 
","NO. OF SECURITIES (ACQUIRED/DISPLOSED) 
","VALUE OF SECURITY (ACQUIRED/DISPLOSED) 
","ACQUISITION/DISPOSAL TRANSACTION TYPE 
","TYPE OF SECURITY (POST) 
","NO. OF SECURITY (POST) 
","% POST 
","DATE OF ALLOTMENT/ACQUISITION FROM 
","DATE OF ALLOTMENT/ACQUISITION TO 
","DATE OF INITMATION TO COMPANY 
","MODE OF ACQUISITION 
","DERIVATIVE TYPE SECURITY 
","DERIVATIVE CONTRACT SPECIFICATION 
","NOTIONAL VALUE(BUY) 
","NUMBER OF UNITS/CONTRACT LOT SIZE (BUY) 
","NOTIONAL VALUE(SELL) 
","NUMBER OF UNITS/CONTRACT LOT SIZE  (SELL) 
","EXCHANGE 
","REMARK 
","BROADCASTE DATE AND TIME 
","XBRL 
"
"HITECHGEAR","The Hi-Tech Gears Limited","7(2)","Megha Kapuria","Promoters","Equity Shares","62960","0.33",,"167","39245","Buy","Equity Shares","63127","0.34","08-Dec-2021","08-Dec-2021","09-Dec-2021","Market Purchase","-","-","0","0","0","0","BSE","-","10-Dec-2021 18:21","https://archives.nseindia.com/corporate/xbrl/IT_1116788_569623_10122021062134_WEB.xml"
"HITECHGEAR","The Hi-Tech Gears Limited","7(2)","Megha Kapuria","Promoters","Equity Shares","63127","0.34",,"1000","234780","Buy","Equity Shares","64127","0.34","09-Dec-2021","09-Dec-2021","09-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 18:21","https://archives.nseindia.com/corporate/xbrl/IT_1116788_569623_10122021062134_WEB.xml"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","7(2)","Zuari Global Limited","Promoters","Equity Shares","59015360","14.18",,"2290000","940045000","Pledge","Equity Shares","59015360","14.18","08-Dec-2021","08-Dec-2021","09-Dec-2021","Pledge Creation","-","-","0","0","0","0","NA","-","10-Dec-2021 18:21","https://archives.nseindia.com/corporate/xbrl/IT_1116787_569620_10122021062100_WEB.xml"
"NAUKRI","Info Edge (India) Limited","7(2)","Info Edge Employees Stock Option Plan Trust","Other","Equity Shares","120320","0.09",,"736","7360","Sell","Equity Shares","119584","0.09","10-Dec-2021","10-Dec-2021","10-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","10-Dec-2021 18:18","https://archives.nseindia.com/corporate/xbrl/IT_1116785_569613_10122021061832_WEB.xml"
"AVADHSUGAR","Avadh Sugar & Energy Limited","7(2)","GANGES SECURITIES LIMITED","Promoter Group","Equity Shares","Nil","0",,"1478624","0","Buy","Equity Shares","1478624","7.39","10-Dec-2021","10-Dec-2021","10-Dec-2021","Scheme of Amalgamation/Merger/Demerger/Arrangement","-","-","0","0","0","0","NA","-","10-Dec-2021 18:13","https://archives.nseindia.com/corporate/xbrl/IT_1116782_569602_10122021061329_WEB.xml"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","7(2)","Zuari Global Limited","Promoters","Equity Shares","59015360","14.18",,"1145000","470022500","Pledge Revoke","Equity Shares","59015360","14.18","08-Dec-2021","08-Dec-2021","09-Dec-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","10-Dec-2021 18:11","https://archives.nseindia.com/corporate/xbrl/IT_1116780_569595_10122021061143_WEB.xml"
"ABCAPITAL","Aditya Birla Capital Limited","7(2)","Birla Group Holdings Private Limited","Promoter Group","Equity Shares","177929156","7.36",,"452000","54097412","Buy","Equity Shares","178381156","7.38","06-Dec-2021","06-Dec-2021","08-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 18:09","https://archives.nseindia.com/corporate/xbrl/IT_1116779_569589_10122021060929_WEB.xml"
"AXISBANK","Axis Bank Limited","7(2)","Jattender Dassi","Employees/Designated Employees","Equity Shares","8100","0",,"1000","693000","Sell","Equity Shares","7100","0","08-Dec-2021","08-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 18:06","https://archives.nseindia.com/corporate/xbrl/IT_1116775_569583_10122021060623_WEB.xml"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","7(2)","Zuari Global Limited","Promoters","Equity Shares","59015360","14.18",,"1145000","470022500","Pledge Revoke","Equity Shares","59015360","14.18","08-Dec-2021","08-Dec-2021","09-Dec-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","10-Dec-2021 18:03","https://archives.nseindia.com/corporate/xbrl/IT_1116773_569578_10122021060306_WEB.xml"
"GLAND","Gland Pharma Limited","7(2)","P SAMPATH KUMAR","Key Managerial Personnel","Equity Shares","5400","0",,"200","725000","Sell","Equity Shares","5200","0","06-Dec-2021","06-Dec-2021","08-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 17:58","https://archives.nseindia.com/corporate/xbrl/IT_1116772_569567_10122021055800_WEB.xml"
"GLAND","Gland Pharma Limited","7(2)","ROOPAK BHARTEE","-","Equity Shares","3116","0",,"2716","9670046","Sell","Equity Shares","400","0","09-Dec-2021","09-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 17:58","https://archives.nseindia.com/corporate/xbrl/IT_1116772_569567_10122021055800_WEB.xml"
"GRASIM","Grasim Industries Limited","7(2)","IGH Holdings Private Limited","Promoter Group","Equity Shares","40096393","6.09",,"35000","60265376","Buy","Equity Shares","40131393","6.1","08-Dec-2021","08-Dec-2021","10-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 17:39","https://archives.nseindia.com/corporate/xbrl/IT_1116770_569548_10122021053912_WEB.xml"
"GRASIM","Grasim Industries Limited","7(2)","Manoranjan Misra","Employees/Designated Employees","Equity Shares","1273","0",,"1273","2130875","Sell","Equity Shares","Nil","0","07-Dec-2021","07-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 17:39","https://archives.nseindia.com/corporate/xbrl/IT_1116770_569548_10122021053912_WEB.xml"
"MEP","MEP Infrastructure Developers Limited","7(2)","A J Tolls Private Limited","Promoter Group","Equity Shares","28924788","15.77",,"21109","422180","Pledge Invoke","Equity Shares","28903679","15.76","06-Dec-2021","06-Dec-2021","08-Dec-2021","Invocation of pledge","-","-","0","0","0","0","NA","-","10-Dec-2021 17:33","https://archives.nseindia.com/corporate/xbrl/IT_1116769_569544_10122021053333_WEB.xml"
"MEP","MEP Infrastructure Developers Limited","7(2)","A J Tolls Private Limited","Promoter Group","Equity Shares","28723135","15.66",,"138835","2726404","Pledge Invoke","Equity Shares","28584300","15.58","09-Dec-2021","09-Dec-2021","09-Dec-2021","Invocation of pledge","-","-","0","0","0","0","NA","-","10-Dec-2021 17:33","https://archives.nseindia.com/corporate/xbrl/IT_1116769_569544_10122021053333_WEB.xml"
"MEP","MEP Infrastructure Developers Limited","7(2)","A J Tolls Private Limited","Promoter Group","Equity Shares","28870602","15.74",,"147467","2916384","Pledge Invoke","Equity Shares","28723135","15.66","08-Dec-2021","08-Dec-2021","08-Dec-2021","Invocation of pledge","-","-","0","0","0","0","NA","-","10-Dec-2021 17:33","https://archives.nseindia.com/corporate/xbrl/IT_1116769_569544_10122021053333_WEB.xml"
"MEP","MEP Infrastructure Developers Limited","7(2)","A J Tolls Private Limited","Promoter Group","Equity Shares","28903679","15.76",,"33077","661540","Pledge Invoke","Equity Shares","28870602","15.74","07-Dec-2021","07-Dec-2021","08-Dec-2021","Invocation of pledge","-","-","0","0","0","0","NA","-","10-Dec-2021 17:33","https://archives.nseindia.com/corporate/xbrl/IT_1116769_569544_10122021053333_WEB.xml"
"MPHASIS","MphasiS Limited","7(2)","Subramanian Sundaresan","Employees/Designated Employees","Equity Shares","11446","0.01",,"11400","35604000","Sell","Equity Shares","46","0","09-Dec-2021","09-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 17:31","https://archives.nseindia.com/corporate/xbrl/IT_1116768_569539_10122021053125_WEB.xml"
"MPHASIS","MphasiS Limited","7(2)","Subramanian Sundaresan","Employees/Designated Employees","Equity Shares","21446","0.01",,"10000","31239000","Sell","Equity Shares","11446","0.01","09-Dec-2021","09-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","BSE","-","10-Dec-2021 17:31","https://archives.nseindia.com/corporate/xbrl/IT_1116768_569539_10122021053125_WEB.xml"
"HGS","Hinduja Global Solutions Limited","7(2)","Shirish Dhavle","Employees/Designated Employees","Equity Shares","800","0",,"800","2299553","Sell","Equity Shares","Nil","0","06-Dec-2021","07-Dec-2021","08-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 17:25","https://archives.nseindia.com/corporate/xbrl/IT_1116767_569534_10122021052537_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","SAHIL YOGEN PAREKH","Employees/Designated Employees","Equity Shares","261","0",,"5750","9026638","Buy","Equity Shares","6011","0","08-Dec-2021","08-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","10-Dec-2021 17:15","https://archives.nseindia.com/corporate/xbrl/IT_1116764_569520_10122021051550_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","RANGAN SRINIVASA V","Director","Equity Shares","719225","0.04",,"3000","8550000","Sell","Equity Shares","716225","0.04","08-Dec-2021","08-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 17:15","https://archives.nseindia.com/corporate/xbrl/IT_1116764_569520_10122021051550_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","SAHIL YOGEN PAREKH","Employees/Designated Employees","Equity Shares","11","0",,"250","392463","Buy","Equity Shares","261","0","08-Dec-2021","08-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","10-Dec-2021 17:15","https://archives.nseindia.com/corporate/xbrl/IT_1116764_569520_10122021051550_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","PAITHANKAR HARSHAL JAYANT","Employees/Designated Employees","Equity Shares","4000","0",,"2000","5673400","Sell","Equity Shares","2000","0","09-Dec-2021","09-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 17:15","https://archives.nseindia.com/corporate/xbrl/IT_1116764_569520_10122021051550_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","ARIJIT SANYAL","Employees/Designated Employees","Equity Shares","50034","0",,"2300","6554885","Sell","Equity Shares","47734","0","08-Dec-2021","08-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 17:15","https://archives.nseindia.com/corporate/xbrl/IT_1116764_569520_10122021051550_WEB.xml"
"HDFC","Housing Development Finance Corporation Limited","7(2)","BHATTACHARYA SATRAJIT","Employees/Designated Employees","Equity Shares","5091","0",,"1500","4270770","Sell","Equity Shares","3591","0","09-Dec-2021","09-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 17:15","https://archives.nseindia.com/corporate/xbrl/IT_1116764_569520_10122021051550_WEB.xml"
"PRAKASHSTL","Prakash Steelage Limited","7(2)","Seth Steelage Private Limited","Promoter Group","Equity Shares","1108740","0.63",,"1108740","7713122","Sell","Equity Shares","Nil","0","07-Dec-2021","07-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","BSE","-","10-Dec-2021 17:15","https://archives.nseindia.com/corporate/xbrl/IT_1116763_569518_10122021051513_WEB.xml"
"BSOFT","BIRLASOFT LIMITED","7(2)","Vikas Vijay Jadhav","Employees/Designated Employees","Equity Shares","30650","0.01",,"2150","949175","Sell","Equity Shares","28500","0.01","16-Nov-2021","16-Nov-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 17:02","https://archives.nseindia.com/corporate/xbrl/IT_1116760_569500_10122021050241_WEB.xml"
"BSOFT","BIRLASOFT LIMITED","7(2)","Vikas Vijay Jadhav","Employees/Designated Employees","Equity Shares","28500","0.01",,"19000","1177050","Buy","Equity Shares","47500","0.02","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","10-Dec-2021 17:02","https://archives.nseindia.com/corporate/xbrl/IT_1116760_569500_10122021050241_WEB.xml"
"MEDICAMEQ","Medicamen Biotech Limited","7(2)","Growel Remedies Limited","Promoter Group","Equity Shares","372044","3.05",,"14025","10394867","Sell","Equity Shares","358019","2.93","07-Dec-2021","09-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","BSE","-","10-Dec-2021 16:57","https://archives.nseindia.com/corporate/xbrl/IT_1116758_569487_10122021045745_WEB.xml"
"MEDICAMEQ","Medicamen Biotech Limited","7(2)","Shivalik Rasayan Limited","Promoters","Equity Shares","5105095","41.79",,"3398","2464959","Buy","Equity Shares","5108493","41.82","07-Dec-2021","09-Dec-2021","10-Dec-2021","Market Purchase","-","-","0","0","0","0","BSE","-","10-Dec-2021 16:57","https://archives.nseindia.com/corporate/xbrl/IT_1116758_569487_10122021045745_WEB.xml"
"BSOFT","BIRLASOFT LIMITED","7(2)","Rajesh Gawade","Employees/Designated Employees","Equity Shares","3556","0",,"22500","1393875","Buy","Equity Shares","26056","0.01","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","10-Dec-2021 16:53","https://archives.nseindia.com/corporate/xbrl/IT_1116756_569475_10122021045321_WEB.xml"
"VASCONEQ","Vascon Engineers Limited","7(2)","LALITKUMAR PANPALIA","-","Equity Shares","220000","0.1",,"60000","1512500","Sell","Equity Shares","160000","0.07","19-Nov-2021","10-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:49","https://archives.nseindia.com/corporate/xbrl/IT_1116754_569471_10122021044919_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","ANSHUL SWAMI","Employees/Designated Employees","Equity Shares","85740","0.01",,"2250","447008","Sell","Equity Shares","83490","0.01","09-Dec-2021","09-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:45","https://archives.nseindia.com/corporate/xbrl/IT_1116752_569465_10122021044520_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","ANSHUL SWAMI","Employees/Designated Employees","Equity Shares","88840","0.01",,"400","77912","Sell","Equity Shares","88440","0.01","03-Dec-2021","03-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:45","https://archives.nseindia.com/corporate/xbrl/IT_1116752_569465_10122021044520_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","ANSHUL SWAMI","Employees/Designated Employees","Equity Shares","89240","0.01",,"400","77400","Sell","Equity Shares","88840","0.01","02-Dec-2021","02-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:45","https://archives.nseindia.com/corporate/xbrl/IT_1116752_569465_10122021044520_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","ANSHUL SWAMI","Employees/Designated Employees","Equity Shares","90440","0.02",,"1200","227496","Sell","Equity Shares","89240","0.01","01-Dec-2021","01-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:45","https://archives.nseindia.com/corporate/xbrl/IT_1116752_569465_10122021044520_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","ANUJ MEHRA","Employees/Designated Employees","Equity Shares","16728","0",,"10173","2026970","Sell","Equity Shares","6555","0","09-Dec-2021","09-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:45","https://archives.nseindia.com/corporate/xbrl/IT_1116752_569465_10122021044520_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","ANUJ MEHRA","Employees/Designated Employees","Equity Shares","29028","0",,"12300","2434170","Sell","Equity Shares","16728","0","08-Dec-2021","08-Dec-2021","08-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:45","https://archives.nseindia.com/corporate/xbrl/IT_1116752_569465_10122021044520_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","ANSHUL SWAMI","Employees/Designated Employees","Equity Shares","87840","0.01",,"200","38900","Sell","Equity Shares","87640","0.01","07-Dec-2021","07-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:45","https://archives.nseindia.com/corporate/xbrl/IT_1116752_569465_10122021044520_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","ANSHUL SWAMI","Employees/Designated Employees","Equity Shares","87640","0.01",,"1900","374775","Sell","Equity Shares","85740","0.01","08-Dec-2021","08-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:45","https://archives.nseindia.com/corporate/xbrl/IT_1116752_569465_10122021044520_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","ANSHUL SWAMI","Employees/Designated Employees","Equity Shares","88440","0.01",,"600","116700","Sell","Equity Shares","87840","0.01","06-Dec-2021","06-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:45","https://archives.nseindia.com/corporate/xbrl/IT_1116752_569465_10122021044520_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","SUMEET BHANDARI","Employees/Designated Employees","Equity Shares","13889","0",,"6400","1260800","Sell","Equity Shares","7489","0","08-Dec-2021","08-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:45","https://archives.nseindia.com/corporate/xbrl/IT_1116752_569465_10122021044520_WEB.xml"
"RBLBANK","RBL Bank Limited","7(2)","SUMEET BHANDARI","Employees/Designated Employees","Equity Shares","13889","0",,"6400","1260800","Pledge Revoke","Equity Shares","13889","0","08-Dec-2021","08-Dec-2021","10-Dec-2021","Revokation of Pledge","-","-","0","0","0","0","NA","-","10-Dec-2021 16:45","https://archives.nseindia.com/corporate/xbrl/IT_1116752_569465_10122021044520_WEB.xml"
"BSOFT","BIRLASOFT LIMITED","7(2)","Aditya Suresh Dikshit","Employees/Designated Employees","Equity Shares","12198","0",,"40000","2478000","Buy","Equity Shares","52198","0.02","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","10-Dec-2021 16:43","https://archives.nseindia.com/corporate/xbrl/IT_1116751_569463_10122021044351_WEB.xml"
"LT","Larsen & Toubro Limited","7(2)","SRAVANKUMAR Y V S","Employees/Designated Employees","Equity Shares","30000","0",,"100","197500","Sell","Equity Shares","29900","0","11-Nov-2021","11-Nov-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:36","https://archives.nseindia.com/corporate/xbrl/IT_1116747_569453_10122021043607_WEB.xml"
"LT","Larsen & Toubro Limited","7(2)","SRAVANKUMAR Y V S","Employees/Designated Employees","Equity Shares","29700","0",,"100","187000","Sell","Equity Shares","29600","0","09-Dec-2021","09-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:36","https://archives.nseindia.com/corporate/xbrl/IT_1116747_569453_10122021043607_WEB.xml"
"LT","Larsen & Toubro Limited","7(2)","SRAVANKUMAR Y V S","Employees/Designated Employees","Equity Shares","29900","0",,"100","185000","Sell","Equity Shares","29800","0","09-Dec-2021","09-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:36","https://archives.nseindia.com/corporate/xbrl/IT_1116747_569453_10122021043607_WEB.xml"
"LT","Larsen & Toubro Limited","7(2)","SRAVANKUMAR Y V S","Employees/Designated Employees","Equity Shares","30100","0",,"100","195000","Sell","Equity Shares","30000","0","09-Nov-2021","09-Nov-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:36","https://archives.nseindia.com/corporate/xbrl/IT_1116747_569453_10122021043607_WEB.xml"
"LT","Larsen & Toubro Limited","7(2)","SRAVANKUMAR Y V S","Employees/Designated Employees","Equity Shares","29600","0",,"100","187500","Sell","Equity Shares","29500","0","09-Dec-2021","09-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:36","https://archives.nseindia.com/corporate/xbrl/IT_1116747_569453_10122021043607_WEB.xml"
"LT","Larsen & Toubro Limited","7(2)","SRAVANKUMAR Y V S","Employees/Designated Employees","Equity Shares","29800","0",,"100","186000","Sell","Equity Shares","29700","0","09-Dec-2021","09-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:36","https://archives.nseindia.com/corporate/xbrl/IT_1116747_569453_10122021043607_WEB.xml"
"LINCOLN","Lincoln Pharmaceuticals Limited","7(2)","Shri Ashish Rajanikant Patel","Promoter Group","Equity Shares","1146302","5.73",,"33500","12503875","Buy","Equity Shares","1179802","5.9","09-Dec-2021","09-Dec-2021","10-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:35","https://archives.nseindia.com/corporate/xbrl/IT_1116745_569450_10122021043507_WEB.xml"
"LINCOLN","Lincoln Pharmaceuticals Limited","7(2)","Shri Munjal M. Patel","Promoter Group","Equity Shares","1735000","8.68",,"16500","6034875","Buy","Equity Shares","1751500","8.76","09-Dec-2021","09-Dec-2021","10-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:35","https://archives.nseindia.com/corporate/xbrl/IT_1116745_569450_10122021043507_WEB.xml"
"BSOFT","BIRLASOFT LIMITED","7(2)","Madan Mohan Mewari","Employees/Designated Employees","Equity Shares","36465","0.01",,"22500","1393875","Buy","Equity Shares","58965","0.02","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","10-Dec-2021 16:33","https://archives.nseindia.com/corporate/xbrl/IT_1116744_569448_10122021043324_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Benjamin Frank","-","Equity Shares","397580","0.01",,"6000","9316200","Sell","Equity Shares","391580","0.01","08-Dec-2021","08-Dec-2021","08-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:26","https://archives.nseindia.com/corporate/xbrl/IT_1116741_569435_10122021042612_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Ajay Kumar Kapoor","-","Equity Shares","168910","0",,"10000","15420000","Sell","Equity Shares","158910","0","08-Dec-2021","08-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:26","https://archives.nseindia.com/corporate/xbrl/IT_1116741_569435_10122021042612_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Bhavesh Zaveri","-","Equity Shares","178290","0",,"20000","30523800","Sell","Equity Shares","158290","0","09-Dec-2021","09-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:26","https://archives.nseindia.com/corporate/xbrl/IT_1116741_569435_10122021042612_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Amit Dayal","-","Equity Shares","126800","0",,"5000","7700000","Sell","Equity Shares","121800","0","08-Dec-2021","08-Dec-2021","08-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:26","https://archives.nseindia.com/corporate/xbrl/IT_1116741_569435_10122021042612_WEB.xml"
"HDFCBANK","HDFC Bank Limited","7(2)","Prashant C Patel","-","Equity Shares","172860","0",,"20000","30702690","Sell","Equity Shares","152860","0","07-Dec-2021","08-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:26","https://archives.nseindia.com/corporate/xbrl/IT_1116741_569435_10122021042612_WEB.xml"
"BSOFT","BIRLASOFT LIMITED","7(2)","Praveen Siddannavar","Employees/Designated Employees","Equity Shares","31800","0.01",,"1200","528000","Sell","Equity Shares","30600","0.01","09-Nov-2021","09-Nov-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:24","https://archives.nseindia.com/corporate/xbrl/IT_1116739_569423_10122021042403_WEB.xml"
"BSOFT","BIRLASOFT LIMITED","7(2)","Praveen Siddannavar","Employees/Designated Employees","Equity Shares","30600","0.01",,"10000","619500","Buy","Equity Shares","40600","0.01","07-Dec-2021","07-Dec-2021","09-Dec-2021","ESOP","-","-","0","0","0","0","NA","-","10-Dec-2021 16:24","https://archives.nseindia.com/corporate/xbrl/IT_1116739_569423_10122021042403_WEB.xml"
"STOVEKRAFT","Stove Kraft Limited","7(2)","Shashidhar SK","Key Managerial Personnel","Equity Shares","10028","0.02",,"2528","2456014","Sell","Equity Shares","7500","0.02","07-Dec-2021","08-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:20","https://archives.nseindia.com/corporate/xbrl/IT_1116737_569420_10122021042042_WEB.xml"
"STOVEKRAFT","Stove Kraft Limited","7(2)","Shashidhar SK","Key Managerial Personnel","Equity Shares","13028","0.03",,"3000","2807400","Sell","Equity Shares","10028","0.03","07-Dec-2021","07-Dec-2021","09-Dec-2021","Market Sale","-","-","0","0","0","0","BSE","-","10-Dec-2021 16:20","https://archives.nseindia.com/corporate/xbrl/IT_1116737_569420_10122021042042_WEB.xml"
"FLUOROCHEM","Gujarat Fluorochemicals Limited","7(2)","Inox Chemicals LLP","Promoter Group","Equity Shares","669615","0.61",,"58233","144046183","Sell","Equity Shares","611382","0.56","09-Dec-2021","09-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","NSE","-","10-Dec-2021 16:14","https://archives.nseindia.com/corporate/xbrl/IT_1116735_569411_10122021041430_WEB.xml"
"3IINFOLTD","3i Infotech Limited","7(2)","Mr. Pravir Kumar Vohra","Director","Equity Shares","15000","0.01",,"50000","5470000","Buy","Equity Shares","65000","0.03","01-Dec-2021","06-Dec-2021","08-Dec-2021","Market Purchase","-","-","0","0","0","0","BSE","-","10-Dec-2021 16:09","https://archives.nseindia.com/corporate/xbrl/IT_1116733_569393_10122021040915_WEB.xml"
"KPITTECH","KPIT Technologies Limited","7(2)","Nishant Tholiya","Employees/Designated Employees","Equity Shares","66725","0.02",,"4000","2028480","Sell","Equity Shares","62725","0.02","10-Dec-2021","10-Dec-2021","10-Dec-2021","Market Sale","-","-","0","0","0","0","BSE","-","10-Dec-2021 16:03","https://archives.nseindia.com/corporate/xbrl/IT_1116731_569382_10122021040318_WEB.xml"
"MITCON","MITCON Consultancy & Engineering Services Limited","7(2)","AJAY ARJUNLAL AGARWALSHIVANI AJAY AGARWAL","Director","Equity Shares","676000","5.04",,"20000","1050000","Buy","Equity Shares","696000","5.19","09-Dec-2021","09-Dec-2021","09-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 15:46","https://archives.nseindia.com/corporate/xbrl/IT_1116727_569362_10122021034639_WEB.xml"
"DBREALTY","D B Realty Limited","7(2)","Vinod Goenka HUF","Promoters","Equity Shares","4388321","1.8",,"17750","818933","Buy","Equity Shares","4406071","1.81","09-Dec-2021","09-Dec-2021","10-Dec-2021","Market Purchase","-","-","0","0","0","0","NSE","-","10-Dec-2021 15:45","https://archives.nseindia.com/corporate/xbrl/IT_1116724_569358_10122021034541_WEB.xml"
